name,matric_no,department,course,year,prev_gpa,prev_cgpa,attendance,test_score,assignment,exam_score,total_200,gp_200,new_cgpa,current_class,predicted_grad_class
Chioma Usman,250501726,CYBERSECURITY,MTH 201,200 Level,1.13,1.13,7,19,5,9,40,1.0,1.06,Pass,Pass
Dayo Adeola,250501055,COMPUTER SCIENCE,CHM 207,200 Level,4.65,4.65,4,7,8,37,56,3.0,3.82,Second Class Upper,Second Class Lower
Dayo Adeyemi,250502843,CYBERSECURITY,MTH 223,200 Level,3.26,3.26,7,8,7,56,78,5.0,4.13,Second Class Upper,First Class
Dayo Adeyemi,250502312,ICT,PHY 201,200 Level,2.96,2.96,8,10,10,29,57,3.0,2.98,Second Class Lower,Second Class Lower
Dayo Adeyemi,250502714,CYBERSECURITY,PHY 201,200 Level,0.76,0.76,5,16,8,47,76,5.0,2.88,Second Class Lower,Second Class Upper
Dayo Babatunde,250501215,CYBERSECURITY,MTH 201,200 Level,1.57,1.57,7,12,4,16,39,0.0,0.78,Fail,Fail
Dayo Bello,250501190,ICT,PHY 205,200 Level,0.92,0.92,0,5,4,29,38,0.0,0.46,Fail,Fail
Dayo Bello,250501160,CYBERSECURITY,CHM 207,200 Level,2.16,2.16,7,17,9,37,70,5.0,3.58,Second Class Upper,Second Class Upper
Dayo Bello,250502856,ICT,PHY 205,200 Level,3.9,3.9,6,17,5,17,45,2.0,2.95,Second Class Lower,Third Class
Dayo Chukwu,250502594,ICT,CHM 207,200 Level,3.76,3.76,5,5,7,0,17,0.0,1.88,Third Class,Fail
Dayo Chukwu,250501522,ICT,GST 209,200 Level,4.86,4.86,4,0,2,38,44,1.0,2.93,Second Class Lower,Third Class
Dayo Chukwu,250501926,CYBERSECURITY,CHM 207,200 Level,1.71,1.71,7,2,1,10,20,0.0,0.86,Fail,Fail
Dayo Danladi,250501654,COMPUTER SCIENCE,PHY 205,200 Level,2.44,2.44,10,14,1,19,44,1.0,1.72,Third Class,Pass
Dayo Danladi,250502661,CYBERSECURITY,GST 211,200 Level,2.82,2.82,3,16,1,10,30,0.0,1.41,Pass,Fail
Dayo Dikko,250502857,COMPUTER SCIENCE,CSC 201,200 Level,2.57,2.57,8,15,3,42,68,4.0,3.28,Second Class Lower,Second Class Upper
Dayo Dikko,250501950,COMPUTER SCIENCE,CSC 201,200 Level,3.2,3.2,2,18,2,52,74,5.0,4.1,Second Class Upper,First Class
Dayo Dikko,250501469,CYBERSECURITY,CSC 201,200 Level,4.83,4.83,3,5,7,28,43,1.0,2.92,Second Class Lower,Third Class
Dayo Ejike,250501859,ICT,CSC 201,200 Level,0.8,0.8,5,0,2,1,8,0.0,0.4,Fail,Fail
Dayo Ejike,250501248,ICT,MTH 223,200 Level,4.84,4.84,6,17,6,35,64,4.0,4.42,Second Class Upper,Second Class Upper
Dayo Eze,250502770,COMPUTER SCIENCE,MTH 223,200 Level,2.57,2.57,0,20,8,15,43,1.0,1.78,Third Class,Pass
Dayo Eze,250501876,ICT,CSC 201,200 Level,3.72,3.72,10,5,5,57,77,5.0,4.36,Second Class Upper,First Class
Dayo Eze,250501025,COMPUTER SCIENCE,PHY 205,200 Level,4.03,4.03,1,14,6,6,27,0.0,2.02,Third Class,Fail
Dayo Fashola,250501246,ICT,MTH 223,200 Level,2.43,2.43,0,17,1,13,31,0.0,1.22,Pass,Fail
Dayo Fashola,250502070,COMPUTER SCIENCE,PHY 205,200 Level,1.83,1.83,5,3,3,48,59,3.0,2.42,Third Class,Second Class Lower
Dayo Gana,250502087,COMPUTER SCIENCE,GST 211,200 Level,1.25,1.25,7,3,2,8,20,0.0,0.62,Fail,Fail
Dayo Garba,250501825,ICT,CHM 207,200 Level,4.64,4.64,1,8,9,30,48,2.0,3.32,Second Class Lower,Second Class Lower
Dayo Garba,250501185,ICT,MTH 223,200 Level,3.47,3.47,6,3,9,48,66,4.0,3.74,Second Class Upper,Second Class Upper
Dayo Hassan,250501506,COMPUTER SCIENCE,CHM 201,200 Level,4.6,4.6,4,14,9,8,35,0.0,2.3,Third Class,Fail
Dayo Hassan,250502131,ICT,GST 211,200 Level,2.73,2.73,3,20,5,10,38,0.0,1.36,Pass,Fail
Dayo Hassan,250501017,COMPUTER SCIENCE,CHM 207,200 Level,2.86,2.86,8,0,7,49,64,4.0,3.43,Second Class Lower,Second Class Upper
Dayo Ikenna,250501567,COMPUTER SCIENCE,PHY 205,200 Level,2.47,2.47,3,5,3,23,34,0.0,1.24,Pass,Fail
Dayo Ikenna,250502091,ICT,CSC 201,200 Level,3.42,3.42,10,15,5,25,55,3.0,3.21,Second Class Lower,Second Class Lower
Dayo Ikenna,250502319,COMPUTER SCIENCE,MTH 223,200 Level,0.77,0.77,8,11,1,56,76,5.0,2.88,Second Class Lower,Second Class Upper
Dayo James,250501560,CYBERSECURITY,GST 211,200 Level,3.67,3.67,4,4,1,3,12,0.0,1.84,Third Class,Fail
Dayo James,250502456,CYBERSECURITY,PHY 201,200 Level,3.6,3.6,4,17,1,30,52,3.0,3.3,Second Class Lower,Second Class Lower
Dayo James,250502538,ICT,GST 209,200 Level,1.32,1.32,5,15,9,0,29,0.0,0.66,Fail,Fail
Dayo Kalu,250502772,CYBERSECURITY,CHM 207,200 Level,4.51,4.51,0,18,0,1,19,0.0,2.26,Third Class,Fail
Dayo Kalu,250501515,COMPUTER SCIENCE,CHM 201,200 Level,0.62,0.62,5,15,0,8,28,0.0,0.31,Fail,Fail
Dayo Kalu,250501004,COMPUTER SCIENCE,PHY 201,200 Level,1.2,1.2,9,13,4,38,64,4.0,2.6,Second Class Lower,Second Class Lower
Dayo Madu,250502647,ICT,MTH 201,200 Level,4.22,4.22,0,10,0,49,59,3.0,3.61,Second Class Upper,Second Class Lower
Dayo Musa,250502223,COMPUTER SCIENCE,GST 209,200 Level,4.75,4.75,7,3,4,44,58,3.0,3.88,Second Class Upper,Second Class Lower
Dayo Musa,250501618,CYBERSECURITY,CSC 201,200 Level,4.13,4.13,1,15,0,57,73,5.0,4.56,First Class,First Class
Dayo Nwachukwu,250501205,CYBERSECURITY,CSC 201,200 Level,0.54,0.54,10,11,3,36,60,4.0,2.27,Third Class,Second Class Lower
Dayo Nwachukwu,250501416,ICT,CHM 201,200 Level,1.82,1.82,6,17,3,33,59,3.0,2.41,Third Class,Second Class Lower
Dayo Nwosu,250502750,COMPUTER SCIENCE,GST 211,200 Level,2.91,2.91,2,1,2,54,59,3.0,2.96,Second Class Lower,Second Class Lower
Dayo Nwosu,250501853,CYBERSECURITY,GST 211,200 Level,4.54,4.54,3,3,0,37,43,1.0,2.77,Second Class Lower,Third Class
Dayo Obi,250502688,ICT,MTH 223,200 Level,3.23,3.23,5,8,5,57,75,5.0,4.12,Second Class Upper,First Class
Dayo Obi,250501706,CYBERSECURITY,CHM 207,200 Level,1.95,1.95,7,15,8,29,59,3.0,2.48,Third Class,Second Class Lower
Dayo Okafor,250501544,ICT,PHY 205,200 Level,3.28,3.28,3,8,3,60,74,5.0,4.14,Second Class Upper,First Class
Dayo Okoro,250502079,CYBERSECURITY,MTH 223,200 Level,4.77,4.77,0,17,9,46,72,5.0,4.88,First Class,First Class
Dayo Okoro,250502752,COMPUTER SCIENCE,GST 209,200 Level,0.55,0.55,0,12,10,55,77,5.0,2.78,Second Class Lower,Second Class Upper
Dayo Raji,250501672,CYBERSECURITY,GST 209,200 Level,0.86,0.86,2,16,6,4,28,0.0,0.43,Fail,Fail
Dayo Raji,250502671,ICT,GST 211,200 Level,4.45,4.45,9,3,7,0,19,0.0,2.22,Third Class,Fail
Dayo Raji,250502254,CYBERSECURITY,MTH 223,200 Level,3.59,3.59,4,17,2,54,77,5.0,4.3,Second Class Upper,First Class
Dayo Salisu,250501084,ICT,CHM 201,200 Level,1.9,1.9,1,11,5,42,59,3.0,2.45,Third Class,Second Class Lower
Dayo Usman,250501615,ICT,PHY 201,200 Level,4.64,4.64,2,19,9,33,63,4.0,4.32,Second Class Upper,Second Class Upper
Dayo Usman,250502582,CYBERSECURITY,CHM 201,200 Level,3.18,3.18,10,7,3,31,51,3.0,3.09,Second Class Lower,Second Class Lower
Dayo Usman,250501094,COMPUTER SCIENCE,PHY 205,200 Level,3.97,3.97,9,11,5,0,25,0.0,1.98,Third Class,Fail
Dayo Usman,250501539,ICT,MTH 223,200 Level,1.08,1.08,6,1,1,60,68,4.0,2.54,Second Class Lower,Second Class Lower
Dayo Usman,250502799,COMPUTER SCIENCE,GST 211,200 Level,0.55,0.55,10,6,1,49,66,4.0,2.28,Third Class,Second Class Lower
Dayo Usman,250502219,COMPUTER SCIENCE,PHY 201,200 Level,1.73,1.73,9,13,0,1,23,0.0,0.86,Fail,Fail
Dayo Usman,250502101,ICT,CHM 201,200 Level,4.86,4.86,9,3,6,26,44,1.0,2.93,Second Class Lower,Third Class
Emeka Adeola,250502775,COMPUTER SCIENCE,MTH 223,200 Level,1.92,1.92,10,12,6,7,35,0.0,0.96,Fail,Fail
Emeka Afolabi,250501710,COMPUTER SCIENCE,CSC 201,200 Level,3.92,3.92,10,12,10,19,51,3.0,3.46,Second Class Lower,Second Class Lower
Emeka Bello,250502383,COMPUTER SCIENCE,PHY 201,200 Level,1.66,1.66,2,0,9,12,23,0.0,0.83,Fail,Fail
Emeka Bello,250501492,CYBERSECURITY,GST 209,200 Level,1.75,1.75,10,5,3,1,19,0.0,0.88,Fail,Fail
Emeka Chukwu,250501547,COMPUTER SCIENCE,GST 211,200 Level,3.52,3.52,0,1,10,1,12,0.0,1.76,Third Class,Fail
Emeka Chukwu,250502936,ICT,PHY 205,200 Level,1.71,1.71,1,19,10,59,89,5.0,3.36,Second Class Lower,Second Class Upper
Emeka Danladi,250501862,ICT,CSC 201,200 Level,2.86,2.86,4,19,7,40,70,5.0,3.93,Second Class Upper,First Class
Emeka Dikko,250502330,ICT,MTH 201,200 Level,3.0,3.0,0,5,5,20,30,0.0,1.5,Third Class,Fail
Emeka Dikko,250501801,COMPUTER SCIENCE,MTH 223,200 Level,1.19,1.19,6,19,10,6,41,1.0,1.1,Pass,Pass
Emeka Dikko,250501259,ICT,GST 211,200 Level,0.94,0.94,4,8,8,7,27,0.0,0.47,Fail,Fail
Emeka Ejike,250501597,CYBERSECURITY,GST 209,200 Level,1.28,1.28,3,15,2,22,42,1.0,1.14,Pass,Pass
Emeka Ejike,250502480,COMPUTER SCIENCE,GST 209,200 Level,4.18,4.18,6,2,8,6,22,0.0,2.09,Third Class,Fail
Emeka Fashola,250501102,ICT,GST 209,200 Level,1.91,1.91,3,4,5,24,36,0.0,0.96,Fail,Fail
Emeka Fashola,250502507,ICT,MTH 223,200 Level,2.9,2.9,1,17,0,59,77,5.0,3.95,Second Class Upper,First Class
Emeka Fashola,250502459,ICT,GST 209,200 Level,3.46,3.46,1,16,0,30,47,2.0,2.73,Second Class Lower,Third Class
Emeka Gana,250502888,COMPUTER SCIENCE,MTH 223,200 Level,3.77,3.77,9,18,9,52,88,5.0,4.38,Second Class Upper,First Class
Emeka Gana,250502058,ICT,PHY 205,200 Level,2.66,2.66,10,17,4,40,71,5.0,3.83,Second Class Upper,First Class
Emeka Garba,250501593,CYBERSECURITY,MTH 223,200 Level,2.06,2.06,4,5,5,40,54,3.0,2.53,Second Class Lower,Second Class Lower
Emeka Ikenna,250501218,ICT,GST 209,200 Level,3.42,3.42,4,16,3,28,51,3.0,3.21,Second Class Lower,Second Class Lower
Emeka Ikenna,250502412,ICT,GST 209,200 Level,1.71,1.71,10,15,8,24,57,3.0,2.36,Third Class,Second Class Lower
Emeka James,250502352,ICT,CSC 201,200 Level,2.47,2.47,9,12,6,33,60,4.0,3.24,Second Class Lower,Second Class Upper
Emeka James,250501519,ICT,MTH 201,200 Level,1.18,1.18,2,6,2,11,21,0.0,0.59,Fail,Fail
Emeka Kalu,250501462,COMPUTER SCIENCE,PHY 201,200 Level,3.86,3.86,3,15,0,36,54,3.0,3.43,Second Class Lower,Second Class Lower
Emeka Kalu,250501843,ICT,GST 209,200 Level,4.82,4.82,4,20,10,0,34,0.0,2.41,Third Class,Fail
Emeka Kalu,250502226,ICT,GST 209,200 Level,2.29,2.29,6,14,0,58,78,5.0,3.64,Second Class Upper,Second Class Upper
Emeka Lawal,250502295,ICT,PHY 205,200 Level,1.4,1.4,7,15,0,50,72,5.0,3.2,Second Class Lower,Second Class Upper
Emeka Madu,250501206,ICT,PHY 205,200 Level,0.96,0.96,1,16,8,19,44,1.0,0.98,Fail,Fail
Emeka Madu,250502568,ICT,PHY 205,200 Level,3.31,3.31,4,17,0,55,76,5.0,4.16,Second Class Upper,First Class
Emeka Nwachukwu,250501878,COMPUTER SCIENCE,CSC 201,200 Level,0.62,0.62,0,15,6,29,50,3.0,1.81,Third Class,Second Class Lower
Emeka Nwachukwu,250502734,CYBERSECURITY,CHM 207,200 Level,1.09,1.09,2,20,8,45,75,5.0,3.04,Second Class Lower,Second Class Upper
Emeka Nwachukwu,250502004,CYBERSECURITY,CHM 207,200 Level,4.13,4.13,3,5,0,44,52,3.0,3.56,Second Class Upper,Second Class Lower
Emeka Nwachukwu,250501154,ICT,MTH 223,200 Level,4.94,4.94,6,12,9,16,43,1.0,2.97,Second Class Lower,Third Class
Emeka Nwosu,250502072,COMPUTER SCIENCE,GST 209,200 Level,0.69,0.69,1,6,1,6,14,0.0,0.34,Fail,Fail
Emeka Obi,250502650,CYBERSECURITY,CSC 201,200 Level,0.66,0.66,4,8,5,56,73,5.0,2.83,Second Class Lower,Second Class Upper
Emeka Obi,250502695,COMPUTER SCIENCE,PHY 201,200 Level,0.81,0.81,4,19,0,31,54,3.0,1.9,Third Class,Second Class Lower
Emeka Okafor,250501280,ICT,CHM 207,200 Level,4.51,4.51,7,13,3,26,49,2.0,3.26,Second Class Lower,Second Class Lower
Emeka Okafor,250501892,COMPUTER SCIENCE,PHY 201,200 Level,4.24,4.24,4,12,0,16,32,0.0,2.12,Third Class,Fail
Emeka Okonkwo,250501404,CYBERSECURITY,PHY 201,200 Level,1.94,1.94,2,16,3,39,60,4.0,2.97,Second Class Lower,Second Class Upper
Emeka Okonkwo,250501557,ICT,GST 209,200 Level,0.63,0.63,0,5,6,55,66,4.0,2.32,Third Class,Second Class Lower
Emeka Okonkwo,250502132,ICT,CHM 207,200 Level,0.86,0.86,4,11,8,11,34,0.0,0.43,Fail,Fail
Emeka Okonkwo,250501740,ICT,CHM 201,200 Level,2.58,2.58,8,1,6,11,26,0.0,1.29,Pass,Fail
Emeka Okoro,250501670,COMPUTER SCIENCE,GST 209,200 Level,1.28,1.28,5,12,3,12,32,0.0,0.64,Fail,Fail
Emeka Okoro,250502286,COMPUTER SCIENCE,PHY 205,200 Level,0.9,0.9,10,16,6,60,92,5.0,2.95,Second Class Lower,Second Class Upper
Emeka Okoro,250501303,ICT,MTH 201,200 Level,3.37,3.37,10,7,0,19,36,0.0,1.68,Third Class,Fail
Emeka Peters,250501573,CYBERSECURITY,PHY 205,200 Level,3.3,3.3,10,17,9,8,44,1.0,2.15,Third Class,Pass
Emeka Peters,250501958,ICT,PHY 201,200 Level,1.25,1.25,10,14,8,13,45,2.0,1.62,Third Class,Third Class
Emeka Peters,250502944,CYBERSECURITY,GST 209,200 Level,4.05,4.05,3,16,0,48,67,4.0,4.03,Second Class Upper,Second Class Upper
Emeka Raji,250502117,ICT,CHM 201,200 Level,4.45,4.45,3,9,8,43,63,4.0,4.22,Second Class Upper,Second Class Upper
Emeka Raji,250502522,CYBERSECURITY,GST 209,200 Level,2.08,2.08,3,7,5,1,16,0.0,1.04,Pass,Fail
Emeka Raji,250501629,ICT,PHY 205,200 Level,1.64,1.64,7,1,5,27,40,1.0,1.32,Pass,Pass
Emeka Salisu,250502460,COMPUTER SCIENCE,CHM 207,200 Level,2.27,2.27,9,12,0,51,72,5.0,3.64,Second Class Upper,Second Class Upper
Emeka Salisu,250502361,ICT,MTH 201,200 Level,1.45,1.45,7,18,4,36,65,4.0,2.72,Second Class Lower,Second Class Lower
Emeka Usman,250502166,CYBERSECURITY,GST 211,200 Level,4.24,4.24,2,6,1,49,58,3.0,3.62,Second Class Upper,Second Class Lower
Emeka Usman,250502505,COMPUTER SCIENCE,CHM 207,200 Level,2.29,2.29,3,3,7,28,41,1.0,1.64,Third Class,Pass
Fatima Adeyemi,250501787,COMPUTER SCIENCE,GST 209,200 Level,2.3,2.3,4,7,6,38,55,3.0,2.65,Second Class Lower,Second Class Lower
Fatima Adeyemi,250501745,COMPUTER SCIENCE,CHM 201,200 Level,4.55,4.55,7,6,1,49,63,4.0,4.28,Second Class Upper,Second Class Upper
Fatima Adeyemi,250501408,ICT,CHM 207,200 Level,4.57,4.57,5,14,2,25,46,2.0,3.28,Second Class Lower,Second Class Lower
Fatima Adeyemi,250501881,CYBERSECURITY,CSC 201,200 Level,3.52,3.52,0,13,5,18,36,0.0,1.76,Third Class,Fail
Fatima Adeyemi,250501753,ICT,MTH 201,200 Level,2.01,2.01,6,1,3,4,14,0.0,1.0,Pass,Fail
Fatima Adeyemi,250501642,ICT,PHY 201,200 Level,1.45,1.45,9,17,8,9,43,1.0,1.23,Pass,Pass
Fatima Adeyemi,250501451,ICT,CHM 207,200 Level,3.01,3.01,4,14,6,1,25,0.0,1.5,Third Class,Fail
Fatima Afolabi,250502963,COMPUTER SCIENCE,GST 209,200 Level,2.23,2.23,5,1,9,32,47,2.0,2.12,Third Class,Third Class
Fatima Afolabi,250501966,ICT,MTH 201,200 Level,3.74,3.74,6,9,4,23,42,1.0,2.37,Third Class,Third Class
Fatima Babatunde,250502138,ICT,PHY 205,200 Level,2.66,2.66,7,11,9,19,46,2.0,2.33,Third Class,Third Class
Fatima Babatunde,250501217,COMPUTER SCIENCE,PHY 205,200 Level,3.86,3.86,0,17,0,45,62,4.0,3.93,Second Class Upper,Second Class Upper
Fatima Babatunde,250501096,CYBERSECURITY,GST 209,200 Level,2.85,2.85,2,19,2,35,58,3.0,2.92,Second Class Lower,Second Class Lower
Fatima Babatunde,250502123,CYBERSECURITY,PHY 205,200 Level,4.14,4.14,3,11,8,50,72,5.0,4.57,First Class,First Class
Fatima Bello,250501367,COMPUTER SCIENCE,GST 209,200 Level,4.57,4.57,5,4,3,55,67,4.0,4.28,Second Class Upper,Second Class Upper
Fatima Bello,250502997,CYBERSECURITY,PHY 205,200 Level,0.81,0.81,1,4,5,55,65,4.0,2.41,Third Class,Second Class Lower
Fatima Bello,250502990,COMPUTER SCIENCE,MTH 201,200 Level,3.94,3.94,1,5,10,22,38,0.0,1.97,Third Class,Fail
Fatima Bello,250501070,ICT,CHM 207,200 Level,3.98,3.98,5,2,1,18,26,0.0,1.99,Third Class,Fail
Fatima Chukwu,250502447,CYBERSECURITY,GST 209,200 Level,4.27,4.27,8,6,0,9,23,0.0,2.13,Third Class,Fail
Fatima Chukwu,250501616,CYBERSECURITY,MTH 223,200 Level,0.77,0.77,2,1,6,40,49,2.0,1.38,Pass,Third Class
Fatima Chukwu,250502442,CYBERSECURITY,PHY 201,200 Level,3.53,3.53,7,11,5,18,41,1.0,2.26,Third Class,Pass
Fatima Danladi,250502916,ICT,CHM 207,200 Level,4.49,4.49,0,15,9,20,44,1.0,2.74,Second Class Lower,Third Class
Fatima Danladi,250501069,ICT,GST 209,200 Level,4.94,4.94,6,8,5,39,58,3.0,3.97,Second Class Upper,Second Class Lower
Fatima Danladi,250502294,COMPUTER SCIENCE,CSC 201,200 Level,4.1,4.1,4,12,4,23,43,1.0,2.55,Second Class Lower,Third Class
Fatima Danladi,250501073,ICT,PHY 205,200 Level,4.17,4.17,1,4,4,52,61,4.0,4.08,Second Class Upper,Second Class Upper
Fatima Dikko,250501061,CYBERSECURITY,PHY 201,200 Level,1.72,1.72,6,13,4,35,58,3.0,2.36,Third Class,Second Class Lower
Fatima Dikko,250501057,COMPUTER SCIENCE,MTH 223,200 Level,1.38,1.38,9,16,1,58,84,5.0,3.19,Second Class Lower,Second Class Upper
Fatima Dikko,250501135,ICT,GST 211,200 Level,1.95,1.95,2,16,0,28,46,2.0,1.98,Third Class,Third Class
Fatima Dikko,250502063,ICT,MTH 201,200 Level,2.38,2.38,5,11,10,38,64,4.0,3.19,Second Class Lower,Second Class Upper
Fatima Dikko,250501619,COMPUTER SCIENCE,CSC 201,200 Level,3.87,3.87,2,14,3,13,32,0.0,1.94,Third Class,Fail
Fatima Ejike,250502064,ICT,CHM 201,200 Level,2.4,2.4,10,20,0,46,76,5.0,3.7,Second Class Upper,Second Class Upper
Fatima Ejike,250501422,ICT,CSC 201,200 Level,0.91,0.91,5,4,6,19,34,0.0,0.46,Fail,Fail
Fatima Ejike,250501899,CYBERSECURITY,CHM 201,200 Level,0.88,0.88,8,20,9,36,73,5.0,2.94,Second Class Lower,Second Class Upper
Fatima Eze,250502680,CYBERSECURITY,CHM 207,200 Level,2.06,2.06,0,3,3,60,66,4.0,3.03,Second Class Lower,Second Class Upper
Fatima Eze,250502147,ICT,PHY 201,200 Level,3.46,3.46,2,16,6,34,58,3.0,3.23,Second Class Lower,Second Class Lower
Fatima Fashola,250502296,ICT,MTH 201,200 Level,1.25,1.25,0,15,10,57,82,5.0,3.12,Second Class Lower,Second Class Upper
Fatima Fashola,250502701,ICT,GST 209,200 Level,2.45,2.45,8,14,8,60,90,5.0,3.72,Second Class Upper,Second Class Upper
Fatima Gana,250502365,CYBERSECURITY,CSC 201,200 Level,1.09,1.09,6,12,1,25,44,1.0,1.04,Pass,Pass
Fatima Gana,250501394,ICT,GST 209,200 Level,2.03,2.03,9,19,0,49,77,5.0,3.51,Second Class Upper,Second Class Upper
Fatima Gana,250502210,COMPUTER SCIENCE,CHM 201,200 Level,2.42,2.42,6,9,4,25,44,1.0,1.71,Third Class,Pass
Fatima Gana,250501396,ICT,PHY 205,200 Level,4.36,4.36,7,14,4,6,31,0.0,2.18,Third Class,Fail
Fatima Gana,250502615,ICT,PHY 205,200 Level,3.51,3.51,10,6,10,0,26,0.0,1.76,Third Class,Fail
Fatima Garba,250501065,ICT,MTH 223,200 Level,2.94,2.94,1,12,3,39,55,3.0,2.97,Second Class Lower,Second Class Lower
Fatima Garba,250502781,CYBERSECURITY,GST 209,200 Level,4.56,4.56,5,0,7,38,50,3.0,3.78,Second Class Upper,Second Class Lower
Fatima Garba,250502336,COMPUTER SCIENCE,CSC 201,200 Level,1.4,1.4,1,15,4,34,54,3.0,2.2,Third Class,Second Class Lower
Fatima Hassan,250502047,ICT,GST 209,200 Level,0.61,0.61,5,5,1,60,71,5.0,2.8,Second Class Lower,Second Class Upper
Fatima Ikenna,250502896,CYBERSECURITY,CHM 201,200 Level,3.27,3.27,2,0,3,36,41,1.0,2.13,Third Class,Pass
Fatima James,250502443,CYBERSECURITY,PHY 205,200 Level,2.5,2.5,3,4,8,55,70,5.0,3.75,Second Class Upper,First Class
Fatima James,250502591,CYBERSECURITY,GST 211,200 Level,4.96,4.96,7,1,7,20,35,0.0,2.48,Third Class,Fail
Fatima James,250501535,CYBERSECURITY,MTH 201,200 Level,4.75,4.75,5,15,1,38,59,3.0,3.88,Second Class Upper,Second Class Lower
Fatima James,250501940,COMPUTER SCIENCE,CHM 201,200 Level,1.73,1.73,4,2,8,27,41,1.0,1.36,Pass,Pass
Fatima James,250502139,COMPUTER SCIENCE,CHM 201,200 Level,3.17,3.17,1,5,7,24,37,0.0,1.58,Third Class,Fail
Fatima James,250502404,COMPUTER SCIENCE,MTH 223,200 Level,3.49,3.49,2,14,8,3,27,0.0,1.74,Third Class,Fail
Fatima Kalu,250501840,COMPUTER SCIENCE,CHM 207,200 Level,0.56,0.56,7,4,4,27,42,1.0,0.78,Fail,Fail
Fatima Kalu,250501187,ICT,MTH 201,200 Level,3.0,3.0,4,7,1,36,48,2.0,2.5,Second Class Lower,Third Class
Fatima Kalu,250502140,COMPUTER SCIENCE,PHY 205,200 Level,4.21,4.21,6,4,10,11,31,0.0,2.1,Third Class,Fail
Fatima Madu,250501782,ICT,CHM 207,200 Level,1.63,1.63,7,9,9,13,38,0.0,0.82,Fail,Fail
Fatima Madu,250502078,ICT,MTH 223,200 Level,1.48,1.48,0,3,7,34,44,1.0,1.24,Pass,Pass
Fatima Musa,250502769,CYBERSECURITY,CHM 207,200 Level,2.28,2.28,4,14,1,15,34,0.0,1.14,Pass,Fail
Fatima Musa,250501249,CYBERSECURITY,GST 211,200 Level,4.34,4.34,6,12,9,16,43,1.0,2.67,Second Class Lower,Third Class
Fatima Musa,250502566,ICT,GST 211,200 Level,3.5,3.5,6,17,10,12,45,2.0,2.75,Second Class Lower,Third Class
Fatima Nwachukwu,250501015,ICT,GST 211,200 Level,1.33,1.33,9,9,10,43,71,5.0,3.16,Second Class Lower,Second Class Upper
Fatima Nwosu,250502614,COMPUTER SCIENCE,GST 211,200 Level,2.0,2.0,7,20,9,55,91,5.0,3.5,Second Class Upper,Second Class Upper
Fatima Nwosu,250501309,ICT,CSC 201,200 Level,1.72,1.72,5,16,5,9,35,0.0,0.86,Fail,Fail
Fatima Okonkwo,250502106,ICT,GST 211,200 Level,2.28,2.28,1,12,1,35,49,2.0,2.14,Third Class,Third Class
Fatima Okonkwo,250501042,ICT,GST 211,200 Level,0.65,0.65,6,12,8,19,45,2.0,1.32,Pass,Third Class
Fatima Okoro,250501778,COMPUTER SCIENCE,PHY 201,200 Level,3.74,3.74,6,20,3,3,32,0.0,1.87,Third Class,Fail
Fatima Okoro,250502300,CYBERSECURITY,PHY 205,200 Level,0.64,0.64,9,7,4,15,35,0.0,0.32,Fail,Fail
Fatima Peters,250501901,ICT,GST 211,200 Level,0.62,0.62,8,16,8,10,42,1.0,0.81,Fail,Fail
Fatima Peters,250502288,ICT,PHY 201,200 Level,0.65,0.65,3,2,3,22,30,0.0,0.32,Fail,Fail
Fatima Salisu,250501601,CYBERSECURITY,CHM 207,200 Level,1.75,1.75,10,2,4,40,56,3.0,2.38,Third Class,Second Class Lower
Fatima Salisu,250501847,CYBERSECURITY,PHY 201,200 Level,4.99,4.99,0,4,10,3,17,0.0,2.5,Second Class Lower,Pass
Fatima Salisu,250501910,COMPUTER SCIENCE,GST 209,200 Level,3.16,3.16,5,5,6,3,19,0.0,1.58,Third Class,Fail
Fatima Salisu,250501226,ICT,MTH 201,200 Level,4.88,4.88,10,14,6,24,54,3.0,3.94,Second Class Upper,Second Class Lower
Fatima Usman,250501625,ICT,GST 209,200 Level,2.16,2.16,6,13,10,25,54,3.0,2.58,Second Class Lower,Second Class Lower
Fatima Usman,250502403,COMPUTER SCIENCE,GST 209,200 Level,3.81,3.81,6,8,2,16,32,0.0,1.9,Third Class,Fail
Fatima Usman,250501093,COMPUTER SCIENCE,MTH 201,200 Level,3.03,3.03,10,6,1,54,71,5.0,4.01,Second Class Upper,First Class
Fatima Usman,250502145,COMPUTER SCIENCE,GST 211,200 Level,4.45,4.45,10,17,5,49,81,5.0,4.72,First Class,First Class
Fatima Usman,250502496,CYBERSECURITY,PHY 205,200 Level,3.29,3.29,2,19,7,41,69,4.0,3.64,Second Class Upper,Second Class Upper
Fatima Usman,250502345,CYBERSECURITY,GST 211,200 Level,2.41,2.41,2,1,3,51,57,3.0,2.7,Second Class Lower,Second Class Lower
Funke Adeola,250501450,ICT,GST 211,200 Level,4.0,4.0,9,4,5,25,43,1.0,2.5,Second Class Lower,Third Class
Funke Adeola,250501078,COMPUTER SCIENCE,PHY 201,200 Level,2.11,2.11,9,14,6,15,44,1.0,1.56,Third Class,Pass
Funke Adeola,250501751,CYBERSECURITY,GST 209,200 Level,4.73,4.73,1,18,4,9,32,0.0,2.37,Third Class,Fail
Funke Adeola,250501989,ICT,CSC 201,200 Level,4.19,4.19,4,19,3,42,68,4.0,4.1,Second Class Upper,Second Class Upper
