full_name,matric_number,age,gender,program,level,attendance_pct,test_scores,exam_scores,assignment_scores,gpa,study_hours_per_week,lms_activity,past_academic_record,class_participation,extracurricular,performance_score,performance_category
Chidinma Nwachukwu,STU/2023/0175,27,Female,Undergraduate,500,62.3,33.0,48.3,46.9,3.86,16.3,58.5,65.9,High,None,51.6,Average
Usman Adeyemi,STU/2022/0176,28,Male,Undergraduate,300,70.7,32.0,85.5,48.4,3.42,10.3,56.4,0.0,High,None,50.3,Average
Tunde Chukwu,STU/2021/0177,18,Female,Undergraduate,400,,77.8,39.3,85.6,2.1,15.9,74.2,76.2,Low,1 Activity,66.3,Good
Wale Bakare,STU/2018/0178,22,Male,Undergraduate,200,63.8,51.1,85.0,71.8,1.29,13.2,44.4,37.9,Medium,None,53.0,Average
Aisha Suleiman,STU/2018/0179,16,Male,HND,100,65.3,79.4,66.2,51.5,2.87,6.2,56.0,40.9,Low,2+ Activities,65.4,Good
Emeka Garba,STU/2020/0180,19,Male,Undergraduate,400,100.0,86.3,30.5,79.8,3.83,23.6,56.8,87.4,Low,None,63.3,Good
Rasheed Suleiman,STU/2019/0181,28,Female,HND,400,70.1,76.4,94.6,52.5,2.57,15.7,37.2,66.4,Medium,2+ Activities,60.8,Good
Adaeze Suleiman,STU/2021/0182,19,Male,HND,400,60.6,48.4,46.1,31.8,1.7,0.0,26.2,76.9,Low,2+ Activities,37.7,Poor
Fatima Obi,STU/2019/0183,29,Female,Postgraduate,100,86.0,13.0,79.1,76.8,2.47,18.2,64.6,39.9,High,2+ Activities,63.1,Good
Sandra Okonkwo,STU/2021/0184,20,Male,Undergraduate,400,71.0,63.6,57.9,93.0,3.29,9.1,80.2,79.2,High,1 Activity,59.5,Average
Ngozi Onwudiwe,STU/2022/0185,22,Male,Undergraduate,400,47.0,95.6,62.5,74.5,4.12,11.7,,57.3,Medium,None,68.6,Good
Ike Anikulapo,STU/2020/0186,22,Female,HND,300,90.7,57.4,73.0,32.9,2.77,14.1,49.6,62.4,Medium,1 Activity,64.3,Good
Sola Mohammed,STU/2022/0187,28,Female,Undergraduate,400,58.6,22.2,71.9,64.6,3.95,7.7,75.7,89.8,Medium,None,55.3,Average
Gbemi Bello,STU/2019/0188,26,Male,Undergraduate,400,72.8,45.9,48.2,60.3,3.85,28.4,78.2,36.7,High,2+ Activities,57.1,Average
Lanre Garba,STU/2020/0189,28,Female,Undergraduate,300,70.8,54.7,65.6,71.4,1.94,2.1,60.8,78.3,Medium,None,55.6,Average
Ahmed Abubakar,STU/2023/0190,19,Female,Undergraduate,100,76.1,38.2,64.1,50.6,4.13,14.5,65.4,67.7,Low,1 Activity,52.6,Average
Chukwuemeka Onyekwere,STU/2021/0191,28,Female,Undergraduate,200,32.6,11.8,59.3,59.3,3.27,17.1,68.3,55.7,Medium,2+ Activities,56.8,Average
Loveth Abubakar,STU/2021/0192,22,Male,Undergraduate,100,66.0,56.2,50.9,40.9,1.91,14.3,72.8,38.1,Medium,2+ Activities,51.8,Average
Ngozi Ibrahim,STU/2020/0193,26,Male,Undergraduate,200,92.2,43.9,59.2,68.8,4.58,12.5,28.2,55.5,High,2+ Activities,57.0,Average
Amina Fashola,STU/2022/0194,18,Female,HND,200,94.8,89.9,94.4,41.5,2.89,11.0,100.0,43.6,Low,1 Activity,67.2,Good
Gbemi Ibrahim,STU/2020/0195,21,Male,Undergraduate,100,54.2,59.8,49.1,72.4,1.25,,61.9,83.7,Low,1 Activity,50.7,Average
Mercy Nwachukwu,STU/2022/0196,27,Female,HND,200,88.6,66.5,79.1,52.2,2.36,7.4,73.2,61.8,High,1 Activity,57.4,Average
Ahmed Nwosu,STU/2020/0197,17,Female,Undergraduate,100,58.3,55.9,42.6,11.6,2.14,23.3,36.0,46.5,High,None,35.7,Poor
Ifeoma Okeke,STU/2022/0198,25,Female,Postgraduate,400,,59.7,37.4,78.5,2.39,10.5,,31.2,High,2+ Activities,53.7,Average
Babatunde Nwachukwu,STU/2018/0199,28,Female,Undergraduate,500,66.2,28.3,100.0,73.4,2.6,31.1,,50.7,Medium,1 Activity,66.5,Good
Tunde Okonkwo,STU/2020/0200,29,Female,Postgraduate,100,74.0,39.3,65.8,88.0,2.77,19.4,9.9,84.7,Medium,None,60.9,Good
Uche Onwudiwe,STU/2022/0201,24,Male,Undergraduate,500,90.0,77.6,66.4,29.5,2.73,0.0,32.5,62.2,Medium,2+ Activities,56.0,Average
Ike Bakare,STU/2023/0202,20,Female,Postgraduate,300,76.8,61.8,66.9,53.9,2.91,21.1,36.9,56.4,Low,1 Activity,56.6,Average
Kola Obi,STU/2019/0203,21,Male,Undergraduate,200,69.7,50.8,83.1,67.2,3.53,13.6,23.0,94.0,Medium,2+ Activities,62.9,Good
Mary Ibrahim,STU/2019/0204,27,Male,HND,100,89.4,66.8,63.2,74.7,2.33,2.9,,51.7,Low,2+ Activities,64.0,Good
Dauda Okafor,STU/2020/0205,27,Female,HND,300,57.6,67.1,71.3,40.1,4.06,24.4,53.1,43.8,Medium,2+ Activities,55.5,Average
Ibrahim Eze,STU/2020/0206,27,Female,Undergraduate,400,,93.8,33.8,72.3,1.9,10.5,90.6,68.1,High,None,56.1,Average
Blessing Ibrahim,STU/2021/0207,27,Female,Undergraduate,400,89.9,60.9,74.7,55.3,3.55,9.8,27.0,68.4,Medium,None,59.7,Average
Chukwuemeka Anikulapo,STU/2022/0208,19,Female,Postgraduate,100,81.5,38.9,50.3,33.5,4.48,17.0,60.9,48.3,High,2+ Activities,53.6,Average
Wale Ibrahim,STU/2020/0209,29,Male,Undergraduate,100,63.6,55.9,68.4,52.2,2.84,23.1,33.0,44.0,Low,2+ Activities,54.8,Average
Tunde Obi,STU/2019/0210,29,Male,HND,200,44.8,68.9,20.7,73.7,3.17,14.9,12.1,88.9,Medium,1 Activity,49.2,Pass
Dauda Ofili,STU/2019/0211,26,Female,Undergraduate,200,77.6,75.9,67.6,34.2,2.13,14.3,69.7,51.3,Medium,1 Activity,59.6,Average
Kayode Nwosu,STU/2019/0212,25,Male,Undergraduate,100,43.6,28.9,10.2,75.8,2.54,8.4,71.8,31.0,High,None,31.9,Poor
Sola Nwachukwu,STU/2022/0213,22,Male,HND,200,68.2,62.6,49.5,69.8,4.41,23.0,68.8,63.9,Medium,2+ Activities,57.2,Average
Chioma Fashola,STU/2018/0214,27,Male,Undergraduate,400,93.2,41.8,20.9,60.7,3.67,15.0,22.1,77.9,High,None,47.4,Pass
Ngozi Ofili,STU/2020/0215,24,Male,Postgraduate,500,82.7,47.8,67.7,37.2,3.38,12.2,57.1,56.2,Low,None,57.9,Average
Emeka Garba,STU/2018/0216,22,Male,Undergraduate,200,35.6,73.2,56.4,38.6,1.26,11.2,69.9,70.7,High,1 Activity,45.8,Pass
Nkechi Ibrahim,STU/2022/0217,29,Male,Undergraduate,500,75.6,71.4,39.6,58.2,2.36,22.2,78.8,39.1,Low,None,54.3,Average
Mary Ibrahim,STU/2023/0218,16,Male,Undergraduate,200,66.3,45.8,83.7,45.9,4.57,11.9,70.7,72.6,High,2+ Activities,64.2,Good
Gbenga Onyekwere,STU/2020/0219,16,Male,Undergraduate,200,49.1,55.2,37.1,59.3,3.37,22.2,79.1,40.9,Medium,None,52.8,Average
Emeka Mohammed,STU/2021/0220,24,Female,Undergraduate,100,78.0,48.4,0.0,80.4,3.48,10.2,81.7,66.1,High,None,56.4,Average
Wale Okonkwo,STU/2020/0221,26,Male,Undergraduate,300,63.1,100.0,65.3,60.4,3.15,19.8,57.6,75.4,Medium,1 Activity,69.6,Good
Oluwaseun Obi,STU/2020/0222,29,Male,Undergraduate,500,63.3,63.0,19.7,59.9,2.45,15.7,67.5,62.0,Low,1 Activity,51.8,Average
Patience Anikulapo,STU/2020/0223,24,Female,Undergraduate,300,74.2,42.9,37.7,59.9,3.3,6.4,80.0,35.3,High,None,50.3,Average
Halima Onyekwere,STU/2020/0224,19,Male,Postgraduate,200,60.7,81.8,44.7,82.2,1.62,13.3,64.8,36.2,Low,1 Activity,61.3,Good
Usman Okonkwo,STU/2023/0225,28,Female,Undergraduate,300,73.7,82.4,26.5,87.0,1.56,0.0,85.0,91.9,Low,1 Activity,56.0,Average
Wale Onyekwere,STU/2020/0226,24,Female,Undergraduate,100,61.3,90.3,45.1,72.2,2.34,8.0,76.9,44.6,High,2+ Activities,52.0,Average
Kola Okafor,STU/2022/0227,18,Male,Undergraduate,400,62.3,95.6,26.9,67.3,3.17,1.4,39.2,75.3,Low,None,64.4,Good
Chiamaka Lawal,STU/2020/0228,22,Male,Undergraduate,300,89.9,70.7,58.2,68.9,1.59,30.0,22.4,62.4,Low,2+ Activities,59.0,Average
Aisha Danjuma,STU/2023/0229,21,Female,Postgraduate,200,91.7,51.7,30.4,89.3,3.11,1.5,55.5,39.9,Medium,1 Activity,56.9,Average
Rasheed Bello,STU/2022/0230,23,Female,Undergraduate,300,41.2,54.4,55.6,73.1,2.1,34.7,25.5,49.3,High,None,47.9,Pass
Lanre Ibrahim,STU/2020/0231,26,Male,Undergraduate,300,,52.7,78.2,90.9,2.23,18.1,57.1,94.0,Low,None,73.7,Good
Mercy Chukwu,STU/2020/0232,24,Female,Undergraduate,100,97.2,50.7,70.6,57.9,4.17,9.8,54.8,100.0,Medium,1 Activity,61.9,Good
Chukwuemeka Bakare,STU/2022/0233,29,Male,Undergraduate,300,100.0,80.3,53.4,42.3,3.03,20.5,87.5,53.7,Medium,None,61.2,Good
Ibrahim Nwosu,STU/2020/0234,20,Female,Postgraduate,100,81.4,58.0,35.2,53.6,2.19,8.8,67.6,52.3,High,None,44.0,Pass
Chidinma Onyekwere,STU/2023/0235,16,Male,Undergraduate,400,53.0,75.5,58.2,55.4,3.17,2.7,79.4,27.2,High,None,57.8,Average
Lanre Fashola,STU/2019/0236,18,Female,Postgraduate,400,,70.2,41.1,92.3,1.68,14.6,42.8,27.0,High,1 Activity,55.7,Average
Mary Aliyu,STU/2020/0237,25,Female,Undergraduate,400,56.4,38.2,59.0,77.5,3.34,,93.2,42.9,Medium,1 Activity,51.3,Average
Vivian Onwudiwe,STU/2021/0238,27,Female,Undergraduate,300,65.8,27.1,20.7,54.2,4.0,24.2,77.3,51.1,Medium,None,46.5,Pass
Rasheed Okafor,STU/2022/0239,23,Male,HND,300,78.9,35.7,71.1,78.7,3.6,18.0,65.7,59.5,Low,1 Activity,61.6,Good
Precious Bello,STU/2023/0240,26,Male,Undergraduate,100,57.5,50.3,55.7,62.8,4.94,9.8,9.8,73.8,Medium,2+ Activities,55.9,Average
Tunde Fashola,STU/2020/0241,21,Male,Undergraduate,400,51.4,60.4,99.2,92.8,1.26,25.1,84.5,64.4,High,None,59.3,Average
Musa Onwudiwe,STU/2020/0242,23,Male,Undergraduate,200,80.4,46.3,81.1,59.3,3.11,23.3,99.3,74.1,Medium,2+ Activities,66.7,Good
Sandra Eze,STU/2022/0243,24,Male,Undergraduate,200,100.0,70.7,66.3,38.8,1.79,16.2,55.3,47.7,Low,1 Activity,51.6,Average
Ike Lawal,STU/2018/0244,19,Female,Undergraduate,200,94.4,48.5,52.5,61.8,2.84,23.7,55.8,58.6,Medium,2+ Activities,61.9,Good
Kayode Danjuma,STU/2023/0245,16,Male,Undergraduate,100,84.7,62.6,40.4,59.3,3.0,31.5,42.1,52.7,Medium,None,54.1,Average
Dauda Okeke,STU/2023/0246,29,Male,Undergraduate,300,89.6,60.1,73.8,42.2,5.0,9.7,14.2,34.7,Medium,2+ Activities,65.6,Good
Mercy Danjuma,STU/2019/0247,16,Female,Undergraduate,100,83.5,89.2,50.4,75.0,2.95,6.8,40.9,20.5,Medium,1 Activity,61.1,Good
Tunde Chukwu,STU/2019/0248,25,Female,Undergraduate,400,80.1,40.4,78.4,89.2,2.93,9.4,96.5,46.6,Medium,1 Activity,64.5,Good
Fatima Mohammed,STU/2020/0249,19,Female,Undergraduate,200,88.2,97.8,63.0,45.9,3.9,3.2,82.0,10.4,Low,1 Activity,70.0,Good
Dauda Chukwu,STU/2022/0250,27,Female,Undergraduate,100,47.4,47.3,63.2,81.5,2.95,18.7,35.7,37.3,High,None,51.5,Average
Fatima Anikulapo,STU/2021/0251,29,Male,Undergraduate,300,75.6,33.9,66.9,54.7,4.65,1.1,40.5,70.9,Medium,2+ Activities,52.5,Average
Wale Okeke,STU/2020/0252,22,Male,HND,100,70.5,54.1,36.6,64.6,3.6,24.1,100.0,63.6,Low,1 Activity,59.8,Average
Blessing Aliyu,STU/2019/0253,17,Female,Undergraduate,200,73.4,100.0,34.6,62.8,3.75,8.6,29.5,60.4,Medium,None,54.4,Average
Usman Abubakar,STU/2020/0254,18,Female,HND,400,63.7,74.1,33.9,64.6,1.32,24.9,37.1,83.6,High,None,48.2,Pass
Blessing Eze,STU/2022/0255,16,Male,Undergraduate,100,81.4,68.9,75.9,73.0,4.79,0.0,44.3,45.4,High,None,61.2,Good
Uche Garba,STU/2023/0256,20,Female,Undergraduate,400,57.3,72.3,36.1,47.6,2.41,10.9,21.0,73.6,Medium,1 Activity,52.4,Average
Rasheed Fashola,STU/2023/0257,16,Male,Undergraduate,100,62.4,44.1,38.6,87.0,2.99,3.7,,43.9,Low,1 Activity,45.8,Pass
Loveth Bello,STU/2023/0258,23,Male,Undergraduate,100,60.2,63.9,65.8,73.6,2.41,,41.9,65.5,Low,1 Activity,56.0,Average
Gbemi Adeyemi,STU/2023/0259,16,Female,Undergraduate,400,87.6,58.0,50.0,79.2,2.08,27.4,32.4,63.1,Low,None,51.6,Average
Sandra Nwosu,STU/2021/0260,26,Female,Undergraduate,200,71.8,90.6,47.4,51.7,1.92,0.0,88.2,64.2,Medium,1 Activity,55.0,Average
Grace Ibrahim,STU/2018/0261,16,Female,Undergraduate,100,63.7,56.0,45.7,46.0,3.09,20.9,25.8,52.3,Medium,1 Activity,49.4,Pass
Chidinma Fashola,STU/2021/0262,17,Male,HND,200,65.3,51.2,8.5,85.1,1.23,22.5,51.5,66.4,Medium,None,47.7,Pass
Halima Okonkwo,STU/2020/0263,17,Female,Undergraduate,200,72.1,37.0,35.7,45.3,2.78,16.6,33.1,68.0,Medium,None,39.3,Poor
Dauda Ibrahim,STU/2019/0264,27,Male,Undergraduate,400,,60.5,78.6,67.5,3.95,18.7,49.8,31.4,Low,None,64.1,Good
Anthonia Onyekwere,STU/2022/0265,21,Male,Postgraduate,200,49.7,63.3,44.2,82.3,3.57,18.1,31.9,77.0,Low,2+ Activities,62.6,Good
Chiamaka Nwachukwu,STU/2020/0266,22,Female,Undergraduate,400,84.2,36.4,17.0,62.8,3.39,21.0,56.9,35.3,Medium,1 Activity,51.9,Average
Aisha Okonkwo,STU/2018/0267,20,Female,Undergraduate,400,80.5,66.2,34.8,84.9,2.19,5.3,,42.5,Low,2+ Activities,51.9,Average
Gbenga Ibrahim,STU/2022/0268,16,Female,Undergraduate,200,56.1,62.2,62.2,60.4,1.57,23.6,90.1,64.8,Low,None,54.8,Average
Bello Bello,STU/2022/0269,16,Female,HND,500,98.4,76.2,61.8,43.3,3.94,15.7,40.3,72.0,Medium,2+ Activities,72.3,Good
Joy Okafor,STU/2022/0270,18,Female,Postgraduate,200,81.7,79.8,49.1,71.4,2.6,15.2,95.4,64.4,High,1 Activity,59.4,Average
Ifeoma Adeyemi,STU/2020/0271,29,Female,Undergraduate,500,62.9,59.7,41.2,68.4,2.93,18.5,34.8,66.5,High,1 Activity,46.3,Pass
Chidinma Nwachukwu,STU/2018/0272,17,Male,Undergraduate,100,38.5,39.3,27.0,100.0,2.82,3.8,49.0,37.3,High,None,44.1,Pass
Nkechi Adeyemi,STU/2020/0273,20,Male,HND,300,76.1,43.0,62.4,48.9,3.61,1.6,,49.5,Medium,1 Activity,55.8,Average
Mary Nwosu,STU/2022/0274,27,Male,Undergraduate,200,71.2,89.7,71.8,60.7,4.66,13.0,100.0,19.0,Medium,2+ Activities,68.1,Good
Patience Ofili,STU/2022/0275,25,Male,Undergraduate,200,53.4,61.0,80.8,52.6,4.32,26.3,97.1,41.6,Low,None,68.4,Good
Biodun Mohammed,STU/2019/0276,21,Female,Undergraduate,300,53.2,89.4,32.8,62.6,0.9,4.5,49.4,33.2,High,None,48.0,Pass
Nkechi Okonkwo,STU/2021/0277,22,Male,Undergraduate,400,87.6,67.0,82.3,61.9,2.72,15.4,67.9,60.3,Low,1 Activity,62.6,Good
Uche Obi,STU/2020/0278,19,Male,Undergraduate,100,36.8,71.6,53.9,50.2,1.79,8.3,72.1,100.0,Low,2+ Activities,48.9,Pass
Lanre Okeke,STU/2018/0279,22,Male,Undergraduate,100,77.7,74.9,55.5,73.0,3.84,7.2,63.6,75.2,Low,1 Activity,60.9,Good
Stella Okeke,STU/2022/0280,26,Female,Undergraduate,400,68.6,36.0,72.9,61.4,3.0,18.0,29.8,15.1,High,None,56.3,Average
Usman Adeyemi,STU/2020/0281,23,Male,Undergraduate,300,80.9,63.5,44.2,87.9,3.55,20.1,60.9,29.6,High,1 Activity,60.5,Good
Kola Nwachukwu,STU/2021/0282,26,Female,Postgraduate,500,66.7,35.7,11.7,54.0,2.65,7.7,42.4,34.0,High,1 Activity,34.3,Poor
Gbemi Eze,STU/2020/0283,16,Male,Undergraduate,400,77.3,52.9,69.1,96.6,2.06,25.1,30.8,24.9,Medium,2+ Activities,64.6,Good
Adaeze Abubakar,STU/2021/0284,21,Male,Undergraduate,500,58.6,69.5,62.0,69.7,2.22,17.4,47.2,54.4,Medium,2+ Activities,56.5,Average
Abdul Nwosu,STU/2020/0285,23,Female,Undergraduate,400,71.1,39.5,47.8,86.6,1.62,12.1,62.9,64.6,High,1 Activity,47.1,Pass
Loveth Chukwu,STU/2019/0286,20,Female,Undergraduate,200,80.8,68.1,67.5,67.0,1.86,16.8,80.0,34.1,Medium,None,66.6,Good
Tunde Adeyemi,STU/2020/0287,19,Male,Undergraduate,100,74.7,31.0,71.5,51.7,1.67,30.3,48.7,55.5,High,2+ Activities,55.2,Average
Chukwuemeka Mohammed,STU/2023/0288,17,Female,Undergraduate,400,78.8,78.6,24.8,60.5,2.07,20.0,53.0,64.4,Medium,1 Activity,53.2,Average
Dauda Lawal,STU/2019/0289,21,Female,Postgraduate,300,55.3,46.0,55.5,41.4,2.02,8.4,75.1,74.0,Medium,2+ Activities,47.3,Pass
Gbemi Bello,STU/2021/0290,21,Male,HND,100,61.4,39.5,9.4,63.1,3.35,,56.8,63.1,High,1 Activity,43.7,Pass
Emeka Fashola,STU/2022/0291,26,Female,Undergraduate,200,61.7,32.2,52.5,67.9,3.32,,,66.6,Low,2+ Activities,51.5,Average
Fatima Adeyemi,STU/2022/0292,16,Female,Undergraduate,500,67.0,47.6,47.5,65.8,3.35,19.3,56.9,59.3,High,2+ Activities,55.0,Average
Sola Onyekwere,STU/2020/0293,24,Female,Undergraduate,300,96.5,23.7,64.8,87.6,4.06,15.9,60.1,39.7,Medium,None,58.9,Average
Femi Bello,STU/2018/0294,27,Female,Postgraduate,200,65.6,48.1,33.5,62.5,2.93,29.2,28.0,44.1,High,2+ Activities,50.1,Average
Nkechi Okeke,STU/2020/0295,26,Female,Postgraduate,200,51.4,77.8,46.6,32.8,2.3,12.2,58.1,33.5,Medium,None,45.5,Pass
Biodun Suleiman,STU/2019/0296,21,Female,Undergraduate,100,81.7,54.6,0.0,100.0,4.99,0.2,90.7,90.0,Medium,2+ Activities,60.2,Good
Adaeze Bakare,STU/2019/0297,28,Female,Undergraduate,200,96.2,36.8,66.2,53.3,3.82,15.7,59.2,30.6,Medium,2+ Activities,58.5,Average
Ike Fashola,STU/2021/0298,18,Female,Postgraduate,200,49.3,62.1,53.2,81.5,3.14,10.5,34.2,79.0,Medium,None,53.2,Average
Gbenga Onwudiwe,STU/2020/0299,19,Female,Undergraduate,100,100.0,60.5,56.7,39.4,3.07,2.0,91.9,30.8,Medium,1 Activity,56.6,Average
Vivian Anikulapo,STU/2021/0300,27,Female,Undergraduate,400,,93.2,25.1,69.2,3.26,8.4,73.0,75.3,High,1 Activity,63.3,Good
Segun Onwudiwe,STU/2018/0301,26,Female,Undergraduate,200,90.6,72.2,63.0,51.5,2.82,11.1,74.2,79.4,Medium,2+ Activities,53.8,Average
Lanre Ibrahim,STU/2022/0302,19,Male,Undergraduate,400,98.4,63.5,88.1,17.0,3.12,23.1,73.5,83.0,Low,2+ Activities,66.3,Good
Nkechi Lawal,STU/2022/0303,18,Female,HND,400,89.5,74.3,51.3,60.2,3.45,2.1,26.8,39.2,High,1 Activity,53.4,Average
Ike Obi,STU/2020/0304,25,Female,HND,100,70.0,55.6,68.0,64.1,2.35,16.8,71.2,63.3,Low,2+ Activities,56.4,Average
Wale Okeke,STU/2021/0305,18,Male,Undergraduate,300,93.9,56.6,37.6,61.3,1.53,31.8,89.6,48.0,Medium,None,43.3,Pass
Nkechi Aliyu,STU/2021/0306,18,Female,Undergraduate,200,76.6,87.9,53.5,69.1,1.13,12.6,43.0,42.3,Low,None,57.4,Average
Stella Mohammed,STU/2018/0307,19,Male,Undergraduate,400,91.6,28.6,24.4,60.4,3.8,12.4,6.8,60.9,High,1 Activity,44.1,Pass
Femi Danjuma,STU/2021/0308,22,Male,Undergraduate,100,,75.4,70.8,66.2,1.58,19.8,64.1,76.3,Low,1 Activity,61.3,Good
Musa Abubakar,STU/2023/0309,19,Female,Undergraduate,300,52.4,56.0,58.2,67.9,3.42,18.2,55.8,48.1,Low,None,55.8,Average
Amina Ibrahim,STU/2023/0310,24,Male,Undergraduate,300,86.3,52.8,30.6,64.4,1.96,25.3,16.3,66.6,High,1 Activity,42.1,Pass
Mary Aliyu,STU/2019/0311,16,Female,Undergraduate,200,68.7,48.0,39.0,62.1,1.98,12.7,70.1,41.8,High,1 Activity,49.2,Pass
Ibrahim Chukwu,STU/2023/0312,23,Female,Undergraduate,100,74.5,60.8,56.2,49.8,2.35,19.6,68.3,39.1,Low,2+ Activities,57.0,Average
Segun Eze,STU/2023/0313,22,Male,Undergraduate,300,74.3,57.2,73.5,75.1,3.17,19.7,18.3,53.5,High,None,61.9,Good
Ike Mohammed,STU/2019/0314,17,Male,Undergraduate,400,73.6,50.5,84.6,60.2,1.84,11.3,100.0,54.7,High,1 Activity,59.0,Average
Patience Mohammed,STU/2023/0315,23,Male,Undergraduate,200,99.4,45.4,52.3,58.8,2.44,13.1,73.8,73.4,Low,1 Activity,56.0,Average
Lanre Adeleke,STU/2023/0316,16,Female,Undergraduate,300,47.4,23.7,27.7,73.7,2.98,13.9,7.7,35.0,High,2+ Activities,40.6,Pass
Mary Mohammed,STU/2019/0317,26,Female,HND,200,41.0,45.0,59.8,68.6,1.91,4.1,75.5,100.0,Medium,1 Activity,53.9,Average
Chidinma Ofili,STU/2020/0318,27,Female,Undergraduate,400,37.2,48.8,90.7,53.1,4.29,10.9,74.7,24.2,Medium,2+ Activities,64.9,Good
Adaeze Okonkwo,STU/2019/0319,24,Male,Undergraduate,100,91.2,60.7,22.5,86.3,1.45,26.0,90.4,64.6,Medium,2+ Activities,54.9,Average
Stella Onyekwere,STU/2019/0320,24,Female,HND,400,58.1,93.3,35.9,44.8,2.8,22.3,,54.3,Medium,1 Activity,55.1,Average
Precious Suleiman,STU/2023/0321,17,Female,HND,200,74.4,46.9,67.2,47.5,4.15,9.4,75.8,47.0,Low,None,54.6,Average
Rasheed Obi,STU/2022/0322,22,Female,Undergraduate,200,69.9,39.6,58.1,76.4,1.81,13.9,49.1,56.5,High,2+ Activities,54.7,Average
Kayode Adeleke,STU/2023/0323,29,Male,Postgraduate,100,56.0,45.1,44.1,94.8,2.9,21.8,41.1,73.4,Low,1 Activity,56.7,Average
Sandra Lawal,STU/2020/0324,25,Female,Undergraduate,100,87.3,60.8,59.4,55.2,3.12,17.5,33.4,76.6,Medium,1 Activity,58.2,Average
Wale Okeke,STU/2019/0325,18,Female,Undergraduate,300,69.7,68.6,74.6,72.0,2.27,20.4,7.4,55.6,Low,1 Activity,60.7,Good
Kola Anikulapo,STU/2018/0326,22,Female,Undergraduate,200,67.7,71.1,53.0,44.7,2.93,18.3,68.5,66.6,High,2+ Activities,58.0,Average
Yusuf Fashola,STU/2019/0327,27,Male,Undergraduate,400,76.2,72.9,51.3,49.2,3.51,15.7,48.2,33.4,Medium,2+ Activities,57.5,Average
Joy Lawal,STU/2020/0328,25,Female,Undergraduate,100,,75.4,66.8,84.2,2.58,12.7,0.0,56.3,Medium,2+ Activities,59.1,Average
Kayode Danjuma,STU/2021/0329,24,Female,Undergraduate,200,54.7,53.0,49.6,71.2,3.69,4.4,56.9,67.9,Medium,None,55.1,Average
Amina Okonkwo,STU/2023/0330,19,Male,Undergraduate,200,87.7,95.0,77.9,84.8,3.35,19.5,83.9,14.3,High,1 Activity,73.0,Good
Ibrahim Garba,STU/2022/0331,27,Female,Undergraduate,100,98.1,51.6,95.5,83.5,2.48,12.2,22.3,61.6,Medium,None,69.2,Good
Ngozi Eze,STU/2022/0332,16,Female,Undergraduate,100,46.3,60.0,37.1,29.5,4.01,0.8,37.2,56.6,High,None,42.0,Pass
Chiamaka Ofili,STU/2023/0333,17,Male,Undergraduate,200,77.0,81.3,30.0,44.7,2.33,9.6,66.0,85.4,Low,2+ Activities,53.8,Average
Patience Okeke,STU/2023/0334,16,Male,Undergraduate,200,66.5,68.2,62.4,69.7,3.77,20.8,0.0,63.3,Low,1 Activity,58.5,Average
Anthonia Ibrahim,STU/2020/0335,29,Female,Postgraduate,200,84.6,17.7,29.3,36.1,2.35,0.0,41.7,69.6,Medium,1 Activity,38.7,Poor
Loveth Danjuma,STU/2019/0336,27,Male,Postgraduate,300,50.1,58.1,28.9,47.1,2.72,5.8,63.7,54.6,High,1 Activity,45.3,Pass
Vivian Bello,STU/2018/0337,20,Female,HND,300,100.0,73.5,14.0,89.3,2.85,15.1,41.0,72.6,Low,2+ Activities,54.5,Average
Vivian Garba,STU/2019/0338,20,Male,Undergraduate,100,43.1,33.8,47.4,55.8,3.3,25.2,22.5,71.2,Low,None,50.3,Average
Chiamaka Bello,STU/2019/0339,26,Female,Postgraduate,200,67.6,71.5,54.3,77.1,0.83,22.0,23.7,33.9,Low,None,47.9,Pass
Usman Onyekwere,STU/2018/0340,22,Male,Undergraduate,500,79.8,65.0,44.7,64.5,3.41,26.0,14.7,66.2,Medium,1 Activity,60.2,Good
Lanre Ibrahim,STU/2022/0341,24,Female,Undergraduate,300,59.6,79.3,82.8,53.4,2.91,15.7,39.2,83.6,Medium,1 Activity,56.3,Average
Loveth Onyekwere,STU/2019/0342,24,Female,Undergraduate,300,56.8,45.5,81.3,36.7,3.26,12.3,81.4,79.7,High,2+ Activities,56.8,Average
Ibrahim Fashola,STU/2021/0343,18,Female,Undergraduate,200,76.0,75.9,93.6,69.0,3.45,20.7,100.0,60.5,Low,2+ Activities,79.8,Excellent
Sola Nwosu,STU/2021/0344,18,Female,Undergraduate,400,73.4,60.9,55.9,89.7,3.35,6.8,55.9,66.4,Low,1 Activity,60.1,Good
Bello Onwudiwe,STU/2020/0345,18,Male,Undergraduate,400,72.1,89.8,78.7,53.9,1.19,6.2,74.2,78.3,Medium,2+ Activities,62.4,Good
Uche Onwudiwe,STU/2020/0346,19,Female,Postgraduate,300,87.5,100.0,61.2,66.2,2.05,4.8,31.5,37.2,Medium,None,67.5,Good
Dauda Onyekwere,STU/2018/0347,23,Male,Undergraduate,500,64.9,85.7,59.2,39.2,3.3,22.7,2.7,69.5,Medium,2+ Activities,57.2,Average
Emeka Abubakar,STU/2018/0348,21,Male,Undergraduate,100,77.8,66.6,45.7,53.6,3.18,,100.0,20.6,Low,None,56.2,Average
Lanre Nwosu,STU/2020/0349,23,Male,HND,100,62.9,99.8,9.7,70.8,2.29,22.0,40.1,77.2,High,2+ Activities,57.7,Average
