full_name,matric_number,age,gender,program,level,attendance_pct,test_scores,exam_scores,assignment_scores,gpa,study_hours_per_week,lms_activity,past_academic_record,class_participation,extracurricular,performance_score,performance_category,study_bucket,score_composite,engagement_index,academic_consistency,class_participation_enc,extracurricular_enc,gender_enc,level_enc
Sola Onyekwere,STU/2020/0293,24,Female,Undergraduate,300,96.5,23.7,64.8,87.6,4.06,15.9,60.1,39.7,Medium,,58.9,Average,"(15, 20]",56.12,64.3,1.379,1,,1,3
Femi Bello,STU/2018/0294,27,Female,Postgraduate,200,65.6,48.1,33.5,62.5,2.93,29.2,28.0,44.1,High,2+ Activities,50.1,Average,"(25, 30]",45.86,43.41,1.017,2,2.0,1,2
Nkechi Okeke,STU/2020/0295,26,Female,Postgraduate,200,51.4,77.8,46.6,32.8,2.3,12.2,58.1,33.5,Medium,,45.5,Pass,"(10, 15]",54.07,48.54,1.567,1,,1,2
Biodun Suleiman,STU/2019/0296,21,Female,Undergraduate,100,81.7,54.6,0.0,100.0,4.99,0.2,90.7,90.0,Medium,2+ Activities,60.2,Good,"(0, 5]",44.11,69.93,0.485,1,2.0,1,1
Adaeze Bakare,STU/2019/0297,28,Female,Undergraduate,200,96.2,36.8,66.2,53.3,3.82,15.7,59.2,30.6,Medium,2+ Activities,58.5,Average,"(15, 20]",52.68,63.69,1.667,1,2.0,1,2
Ike Fashola,STU/2021/0298,18,Female,Postgraduate,200,49.3,62.1,53.2,81.5,3.14,10.5,34.2,79.0,Medium,,53.2,Average,"(10, 15]",63.39,35.39,0.792,1,,1,2
Gbenga Onwudiwe,STU/2020/0299,19,Female,Undergraduate,100,100.0,60.5,56.7,39.4,3.07,2.0,91.9,30.8,Medium,1 Activity,56.6,Average,"(0, 5]",53.71,76.62,1.689,1,1.0,1,1
Vivian Anikulapo,STU/2021/0300,27,Female,Undergraduate,400,71.4,93.2,25.1,69.2,3.26,8.4,73.0,75.3,High,1 Activity,63.3,Good,"(5, 10]",59.96,60.72,0.786,2,1.0,1,4
Segun Onwudiwe,STU/2018/0301,26,Female,Undergraduate,200,90.6,72.2,63.0,51.5,2.82,11.1,74.2,79.4,Medium,2+ Activities,53.8,Average,"(10, 15]",63.34,67.98,0.788,1,2.0,1,2
Lanre Ibrahim,STU/2022/0302,19,Male,Undergraduate,400,98.4,63.5,88.1,17.0,3.12,23.1,73.5,83.0,Low,2+ Activities,66.3,Good,"(20, 25]",61.72,73.97,0.735,0,2.0,0,4
Nkechi Lawal,STU/2022/0303,18,Female,HND,400,89.5,74.3,51.3,60.2,3.45,2.1,26.8,39.2,High,1 Activity,53.4,Average,"(0, 5]",61.58,40.95,1.532,2,1.0,1,4
Ike Obi,STU/2020/0304,25,Female,HND,100,70.0,55.6,68.0,64.1,2.35,16.8,71.2,63.3,Low,2+ Activities,56.4,Average,"(15, 20]",62.68,62.2,0.975,0,2.0,1,1
Wale Okeke,STU/2021/0305,18,Male,Undergraduate,300,93.9,56.6,37.6,61.3,1.53,31.8,89.6,48.0,Medium,,43.3,Pass,"(30, 35]",50.18,83.57,1.024,1,,0,3
Nkechi Aliyu,STU/2021/0306,18,Female,Undergraduate,200,76.6,87.9,53.5,69.1,1.13,12.6,43.0,42.3,Low,,57.4,Average,"(10, 15]",69.44,48.68,1.604,0,,1,2
Stella Mohammed,STU/2018/0307,19,Male,Undergraduate,400,91.6,28.6,24.4,60.4,3.8,12.4,6.8,60.9,High,1 Activity,44.1,Pass,"(10, 15]",34.87,35.01,0.563,2,1.0,0,4
Femi Danjuma,STU/2021/0308,22,Male,Undergraduate,100,71.4,75.4,70.8,66.2,1.58,19.8,64.1,76.3,Low,1 Activity,61.3,Good,"(15, 20]",71.26,60.07,0.922,0,1.0,0,1
Musa Abubakar,STU/2023/0309,19,Female,Undergraduate,300,52.4,56.0,58.2,67.9,3.42,18.2,55.8,48.1,Low,,55.8,Average,"(15, 20]",59.86,49.69,1.219,0,,1,3
Amina Ibrahim,STU/2023/0310,24,Male,Undergraduate,300,86.3,52.8,30.6,64.4,1.96,25.3,16.3,66.6,High,1 Activity,42.1,Pass,"(25, 30]",46.82,42.47,0.693,2,1.0,0,3
Mary Aliyu,STU/2019/0311,16,Female,Undergraduate,200,68.7,48.0,39.0,62.1,1.98,12.7,70.1,41.8,High,1 Activity,49.2,Pass,"(10, 15]",47.92,59.89,1.12,2,1.0,1,2
Ibrahim Chukwu,STU/2023/0312,23,Female,Undergraduate,100,74.5,60.8,56.2,49.8,2.35,19.6,68.3,39.1,Low,2+ Activities,57.0,Average,"(15, 20]",56.21,63.03,1.402,0,2.0,1,1
Segun Eze,STU/2023/0313,22,Male,Undergraduate,300,74.3,57.2,73.5,75.1,3.17,19.7,18.3,53.5,High,,61.9,Good,"(15, 20]",68.19,38.01,1.251,2,,0,3
Ike Mohammed,STU/2019/0314,17,Male,Undergraduate,400,73.6,50.5,84.6,60.2,1.84,11.3,100.0,54.7,High,1 Activity,59.0,Average,"(10, 15]",66.56,75.85,1.195,2,1.0,0,4
Patience Mohammed,STU/2023/0315,23,Male,Undergraduate,200,99.4,45.4,52.3,58.8,2.44,13.1,73.8,73.4,Low,1 Activity,56.0,Average,"(10, 15]",51.51,71.09,0.692,0,1.0,0,2
Lanre Adeleke,STU/2023/0316,16,Female,Undergraduate,300,47.4,23.7,27.7,73.7,2.98,13.9,7.7,35.0,High,2+ Activities,40.6,Pass,"(10, 15]",37.8,22.7,1.05,2,2.0,1,3
Mary Mohammed,STU/2019/0317,26,Female,HND,200,41.0,45.0,59.8,68.6,1.91,4.1,75.5,100.0,Medium,1 Activity,53.9,Average,"(0, 5]",56.82,51.42,0.563,1,1.0,1,2
Chidinma Ofili,STU/2020/0318,27,Female,Undergraduate,400,37.2,48.8,90.7,53.1,4.29,10.9,74.7,24.2,Medium,2+ Activities,64.9,Good,"(10, 15]",66.64,52.14,2.644,1,2.0,1,4
Adaeze Okonkwo,STU/2019/0319,24,Male,Undergraduate,100,91.2,60.7,22.5,86.3,1.45,26.0,90.4,64.6,Medium,2+ Activities,54.9,Average,"(25, 30]",51.82,81.23,0.79,1,2.0,0,1
Stella Onyekwere,STU/2019/0320,24,Female,HND,400,58.1,93.3,35.9,44.8,2.8,22.3,56.5,54.3,Medium,1 Activity,55.1,Average,"(20, 25]",58.21,53.11,1.053,1,1.0,1,4
Precious Suleiman,STU/2023/0321,17,Female,HND,200,74.4,46.9,67.2,47.5,4.15,9.4,75.8,47.0,Low,,54.6,Average,"(5, 10]",55.17,63.35,1.149,0,,1,2
Rasheed Obi,STU/2022/0322,22,Female,Undergraduate,200,69.9,39.6,58.1,76.4,1.81,13.9,49.1,56.5,High,2+ Activities,54.7,Average,"(10, 15]",56.2,50.15,0.977,2,2.0,1,2
Kayode Adeleke,STU/2023/0323,29,Male,Postgraduate,100,56.0,45.1,44.1,94.8,2.9,21.8,41.1,73.4,Low,1 Activity,56.7,Average,"(20, 25]",57.12,44.62,0.768,0,1.0,0,1
Sandra Lawal,STU/2020/0324,25,Female,Undergraduate,100,87.3,60.8,59.4,55.2,3.12,17.5,33.4,76.6,Medium,1 Activity,58.2,Average,"(15, 20]",58.84,48.72,0.758,1,1.0,1,1
Wale Okeke,STU/2019/0325,18,Female,Undergraduate,300,69.7,68.6,74.6,72.0,2.27,20.4,7.4,55.6,Low,1 Activity,60.7,Good,"(20, 25]",71.85,31.41,1.269,0,1.0,1,3
Kola Anikulapo,STU/2018/0326,22,Female,Undergraduate,200,67.7,71.1,53.0,44.7,2.93,18.3,68.5,66.6,High,2+ Activities,58.0,Average,"(15, 20]",57.26,60.66,0.847,2,2.0,1,2
Yusuf Fashola,STU/2019/0327,27,Male,Undergraduate,400,76.2,72.9,51.3,49.2,3.51,15.7,48.2,33.4,Medium,2+ Activities,57.5,Average,"(15, 20]",58.33,52.19,1.696,1,2.0,0,4
Joy Lawal,STU/2020/0328,25,Female,Undergraduate,100,71.4,75.4,66.8,84.2,2.58,12.7,0.0,56.3,Medium,2+ Activities,59.1,Average,"(10, 15]",74.16,25.65,1.294,1,2.0,1,1
Kayode Danjuma,STU/2021/0329,24,Female,Undergraduate,200,54.7,53.0,49.6,71.2,3.69,4.4,56.9,67.9,Medium,,55.1,Average,"(0, 5]",56.19,46.33,0.816,1,,1,2
Amina Okonkwo,STU/2023/0330,19,Male,Undergraduate,200,87.7,95.0,77.9,84.8,3.35,19.5,83.9,14.3,High,1 Activity,73.0,Good,"(15, 20]",85.61,74.76,5.595,2,1.0,0,2
Ibrahim Garba,STU/2022/0331,27,Female,Undergraduate,100,98.1,51.6,95.5,83.5,2.48,12.2,22.3,61.6,Medium,,69.2,Good,"(10, 15]",77.14,44.65,1.232,1,,1,1
Ngozi Eze,STU/2022/0332,16,Female,Undergraduate,100,46.3,60.0,37.1,29.5,4.01,0.8,37.2,56.6,High,,42.0,Pass,"(0, 5]",43.22,32.76,0.75,2,,1,1
Chiamaka Ofili,STU/2023/0333,17,Male,Undergraduate,200,77.0,81.3,30.0,44.7,2.33,9.6,66.0,85.4,Low,2+ Activities,53.8,Average,"(5, 10]",51.63,59.3,0.598,0,2.0,0,2
Patience Okeke,STU/2023/0334,16,Male,Undergraduate,200,66.5,68.2,62.4,69.7,3.77,20.8,0.0,63.3,Low,1 Activity,58.5,Average,"(20, 25]",66.26,26.88,1.03,0,1.0,0,2
Anthonia Ibrahim,STU/2020/0335,29,Female,Postgraduate,200,84.6,17.7,29.3,36.1,2.35,0.0,41.7,69.6,Medium,1 Activity,38.7,Poor,,26.94,46.23,0.382,1,1.0,1,2
Loveth Danjuma,STU/2019/0336,27,Male,Postgraduate,300,50.1,58.1,28.9,47.1,2.72,5.8,63.7,54.6,High,1 Activity,45.3,Pass,"(5, 10]",43.67,48.81,0.785,2,1.0,0,3
Vivian Bello,STU/2018/0337,20,Female,HND,300,100.0,73.5,14.0,89.3,2.85,15.1,41.0,72.6,Low,2+ Activities,54.5,Average,"(15, 20]",53.65,55.53,0.729,0,2.0,1,3
Vivian Garba,STU/2019/0338,20,Male,Undergraduate,100,43.1,33.8,47.4,55.8,3.3,25.2,22.5,71.2,Low,,50.3,Average,"(25, 30]",44.74,32.58,0.62,0,,0,1
Chiamaka Bello,STU/2019/0339,26,Female,Postgraduate,200,67.6,71.5,54.3,77.1,0.83,22.0,23.7,33.9,Low,,47.9,Pass,"(20, 25]",66.02,39.46,1.892,0,,1,2
Usman Onyekwere,STU/2018/0340,22,Male,Undergraduate,500,79.8,65.0,44.7,64.5,3.41,26.0,14.7,66.2,Medium,1 Activity,60.2,Good,"(25, 30]",56.76,39.96,0.845,1,1.0,0,5
Lanre Ibrahim,STU/2022/0341,24,Female,Undergraduate,300,59.6,79.3,82.8,53.4,2.91,15.7,39.2,83.6,Medium,1 Activity,56.3,Average,"(15, 20]",74.22,42.71,0.877,1,1.0,1,3
Loveth Onyekwere,STU/2019/0342,24,Female,Undergraduate,300,56.8,45.5,81.3,36.7,3.26,12.3,81.4,79.7,High,2+ Activities,56.8,Average,"(10, 15]",57.62,61.84,0.714,2,2.0,1,3
Ibrahim Fashola,STU/2021/0343,18,Female,Undergraduate,200,76.0,75.9,93.6,69.0,3.45,20.7,100.0,60.5,Low,2+ Activities,79.8,Excellent,"(20, 25]",81.26,79.7,1.321,0,2.0,1,2
Sola Nwosu,STU/2021/0344,18,Female,Undergraduate,400,73.4,60.9,55.9,89.7,3.35,6.8,55.9,66.4,Low,1 Activity,60.1,Good,"(5, 10]",66.1,52.24,0.981,0,1.0,1,4
Bello Onwudiwe,STU/2020/0345,18,Male,Undergraduate,400,72.1,89.8,78.7,53.9,1.19,6.2,74.2,78.3,Medium,2+ Activities,62.4,Good,"(5, 10]",76.38,60.8,0.963,1,2.0,0,4
Uche Onwudiwe,STU/2020/0346,19,Female,Postgraduate,300,87.5,100.0,61.2,66.2,2.05,4.8,31.5,37.2,Medium,,67.5,Good,"(0, 5]",76.03,43.6,1.99,1,,1,3
Dauda Onyekwere,STU/2018/0347,23,Male,Undergraduate,500,64.9,85.7,59.2,39.2,3.3,22.7,2.7,69.5,Medium,2+ Activities,57.2,Average,"(20, 25]",63.47,28.39,0.9,1,2.0,0,5
Emeka Abubakar,STU/2018/0348,21,Male,Undergraduate,100,77.8,66.6,45.7,53.6,3.18,14.2,100.0,20.6,Low,,56.2,Average,,54.99,78.07,2.546,0,,0,1
Lanre Nwosu,STU/2020/0349,23,Male,HND,100,62.9,99.8,9.7,70.8,2.29,22.0,40.1,77.2,High,2+ Activities,57.7,Average,"(20, 25]",56.51,46.25,0.723,2,2.0,0,1
Babatunde Bello,STU/2023/0350,16,Male,Undergraduate,400,56.7,68.9,67.7,77.6,3.66,15.2,73.0,52.3,Medium,1 Activity,58.8,Average,"(15, 20]",70.6,58.58,1.325,1,1.0,0,4
Usman Danjuma,STU/2019/0351,23,Female,Undergraduate,400,66.9,41.7,78.1,74.5,2.77,22.8,59.0,58.3,Medium,,57.7,Average,"(20, 25]",64.46,57.17,1.087,1,,1,4
Ibrahim Nwachukwu,STU/2023/0352,19,Female,Undergraduate,100,63.0,57.3,24.5,30.5,3.8,5.2,79.9,48.9,Medium,,46.6,Pass,"(5, 10]",37.48,60.58,0.751,1,,1,1
Oluwaseun Nwosu,STU/2022/0353,26,Male,Undergraduate,200,63.9,71.7,54.8,57.2,4.09,9.0,78.9,59.2,Low,1 Activity,54.0,Average,"(5, 10]",61.32,61.62,1.019,0,1.0,0,2
Chukwuemeka Nwosu,STU/2021/0354,16,Male,Undergraduate,100,93.0,72.9,74.8,48.6,3.25,17.6,61.9,65.1,High,1 Activity,71.6,Good,"(15, 20]",67.59,64.72,1.023,2,1.0,0,1
Sandra Aliyu,STU/2018/0355,23,Female,Undergraduate,200,67.4,37.7,47.8,59.7,3.5,10.6,64.7,75.1,High,,55.8,Average,"(10, 15]",47.24,56.1,0.621,2,,1,2
Precious Lawal,STU/2020/0356,19,Male,Undergraduate,400,60.1,38.3,78.9,63.1,2.45,0.0,85.3,86.0,Medium,1 Activity,58.4,Average,,60.74,60.68,0.698,1,1.0,0,4
Lanre Onwudiwe,STU/2021/0357,21,Male,Undergraduate,300,72.5,51.9,52.2,83.1,3.8,3.0,44.8,61.0,Medium,1 Activity,63.6,Good,"(0, 5]",59.82,45.15,0.965,1,1.0,0,3
Dauda Onwudiwe,STU/2023/0358,23,Male,Undergraduate,200,73.9,67.6,44.5,70.0,3.2,5.1,93.9,26.8,Low,1 Activity,60.2,Good,"(5, 10]",58.96,70.82,2.121,0,1.0,0,2
Patience Obi,STU/2018/0359,19,Female,Undergraduate,200,50.6,69.9,80.0,89.1,2.73,5.7,37.3,86.1,Medium,2+ Activities,62.9,Good,"(5, 10]",78.74,35.73,0.904,1,2.0,1,2
Adaeze Nwosu,STU/2018/0360,29,Female,Undergraduate,100,66.6,60.5,36.3,53.1,1.9,19.5,56.9,30.6,Medium,,40.8,Pass,"(15, 20]",48.97,54.93,1.55,1,,1,1
Oluwaseun Onyekwere,STU/2019/0361,18,Male,Postgraduate,200,65.9,43.0,40.5,40.9,2.56,16.7,70.7,51.6,High,1 Activity,44.7,Pass,"(15, 20]",41.48,60.69,0.789,2,1.0,0,2
Rasheed Bello,STU/2018/0362,29,Male,Undergraduate,300,68.9,89.3,37.1,89.7,2.0,15.3,14.3,50.2,Low,2+ Activities,54.1,Average,"(15, 20]",68.52,32.92,1.338,0,2.0,0,3
Stella Bello,STU/2022/0363,24,Female,Undergraduate,500,85.1,38.7,32.1,72.4,3.69,30.1,56.5,60.2,Low,1 Activity,59.6,Average,"(30, 35]",44.48,63.81,0.727,0,1.0,1,5
Lanre Bello,STU/2018/0364,18,Female,Undergraduate,400,74.5,81.4,58.1,52.4,4.1,23.4,66.9,34.7,Low,1 Activity,63.9,Good,"(20, 25]",64.83,63.6,1.816,0,1.0,1,4
Kola Anikulapo,STU/2022/0365,24,Male,Undergraduate,100,94.1,71.3,44.7,72.4,3.82,20.4,100.0,33.8,Low,1 Activity,58.9,Average,"(20, 25]",60.94,85.03,1.751,0,1.0,0,1
Lanre Chukwu,STU/2023/0366,28,Female,Undergraduate,400,71.8,81.0,64.8,79.2,5.0,2.0,100.0,59.6,Medium,,74.8,Good,"(0, 5]",74.07,72.21,1.222,1,,1,4
Dauda Onwudiwe,STU/2019/0367,17,Male,Undergraduate,400,100.0,50.0,20.3,67.0,2.59,14.5,54.7,44.0,Low,1 Activity,55.2,Average,"(10, 15]",42.37,62.18,0.942,0,1.0,0,4
Yusuf Anikulapo,STU/2022/0368,29,Male,HND,400,63.7,55.4,32.5,52.6,3.54,16.4,99.6,86.9,High,2+ Activities,61.8,Good,"(15, 20]",45.54,74.38,0.518,2,2.0,0,4
Lanre Adeleke,STU/2023/0369,17,Female,Postgraduate,200,58.1,59.0,56.0,57.5,1.94,10.7,76.2,49.0,Low,,46.3,Pass,"(10, 15]",57.42,59.1,1.148,0,,1,2
Lanre Suleiman,STU/2021/0370,17,Male,Undergraduate,200,81.9,49.4,84.4,69.9,2.82,14.2,60.8,39.4,Medium,2+ Activities,65.8,Good,,68.53,59.7,1.696,1,2.0,0,2
Biodun Onwudiwe,STU/2018/0371,21,Female,Postgraduate,200,96.6,62.1,62.6,68.4,1.67,14.4,13.5,93.4,Medium,,53.3,Average,"(10, 15]",63.88,40.53,0.677,1,,1,2
Vivian Abubakar,STU/2020/0372,18,Male,Undergraduate,100,47.2,86.4,43.2,85.6,3.51,4.2,19.4,69.4,High,1 Activity,66.6,Good,"(0, 5]",68.92,25.26,0.979,2,1.0,0,1
Stella Mohammed,STU/2020/0373,28,Male,Undergraduate,100,68.5,34.7,25.2,60.3,2.68,6.0,55.1,100.0,High,2+ Activities,46.6,Pass,"(5, 10]",37.3,50.1,0.369,2,2.0,0,1
Usman Okonkwo,STU/2022/0374,24,Female,Undergraduate,100,61.0,46.2,42.0,48.6,1.15,32.3,42.6,21.6,High,2+ Activities,43.1,Pass,"(30, 35]",45.12,50.37,1.996,2,2.0,1,1
Halima Ibrahim,STU/2019/0375,19,Male,Undergraduate,200,74.6,44.2,54.2,100.0,2.38,10.6,60.6,64.2,High,2+ Activities,57.1,Average,"(10, 15]",62.15,56.21,0.953,2,2.0,0,2
Wale Ibrahim,STU/2022/0376,16,Female,Postgraduate,400,72.2,56.3,7.8,68.0,4.61,0.0,89.3,69.7,Medium,2+ Activities,54.6,Average,,39.83,66.31,0.563,1,2.0,1,4
Emeka Onyekwere,STU/2023/0377,19,Male,Undergraduate,200,96.2,55.6,30.7,79.2,3.37,9.2,76.6,60.6,High,1 Activity,61.1,Good,"(5, 10]",51.54,70.23,0.837,2,1.0,0,2
Joy Chukwu,STU/2023/0378,16,Male,Undergraduate,100,71.4,71.9,40.2,73.9,3.69,0.0,37.6,52.8,High,1 Activity,50.4,Average,,59.72,40.22,1.11,2,1.0,0,1
Lanre Mohammed,STU/2022/0379,29,Male,HND,500,96.7,58.6,49.9,68.2,3.11,21.3,78.1,84.9,Low,1 Activity,68.1,Good,"(20, 25]",57.52,75.16,0.67,0,1.0,0,5
Oluwaseun Garba,STU/2022/0380,20,Female,Undergraduate,500,66.3,63.5,53.9,61.1,2.84,0.0,32.1,69.3,Medium,1 Activity,55.0,Average,,59.06,35.94,0.84,1,1.0,1,5
Ibrahim Lawal,STU/2021/0381,19,Male,Undergraduate,400,88.7,65.2,42.8,17.3,3.01,2.8,26.4,26.2,Low,1 Activity,51.0,Average,"(0, 5]",44.26,40.74,1.627,0,1.0,0,4
Loveth Onyekwere,STU/2023/0382,23,Female,Undergraduate,500,76.1,62.4,65.1,46.9,3.22,14.0,64.5,42.6,Medium,1 Activity,64.9,Good,"(10, 15]",59.6,59.75,1.367,1,1.0,1,5
Ahmed Onwudiwe,STU/2021/0383,23,Male,Postgraduate,300,100.0,70.7,57.5,70.6,2.01,22.9,34.6,36.7,Medium,1 Activity,59.8,Average,"(20, 25]",65.4,54.93,1.735,1,1.0,0,3
Segun Aliyu,STU/2022/0384,22,Female,Postgraduate,500,45.4,55.8,47.6,18.8,3.69,13.4,39.0,57.6,Medium,2+ Activities,49.7,Pass,"(10, 15]",43.27,37.59,0.738,1,2.0,1,5
Oluwaseun Mohammed,STU/2019/0385,18,Male,Undergraduate,100,51.1,87.6,67.9,66.2,4.01,3.9,79.8,79.0,Medium,1 Activity,64.0,Good,"(0, 5]",74.37,56.53,0.93,1,1.0,0,1
Abdul Bakare,STU/2018/0386,16,Female,Undergraduate,200,100.0,100.0,66.2,76.2,2.82,15.5,71.4,52.4,High,,70.5,Good,"(15, 20]",80.53,70.87,1.508,2,,1,2
Chukwuemeka Ofili,STU/2023/0387,16,Female,Undergraduate,100,58.8,70.7,25.9,79.2,2.53,10.3,45.7,54.9,Medium,1 Activity,57.7,Average,"(10, 15]",54.9,43.92,0.982,1,1.0,1,1
Rasheed Onyekwere,STU/2020/0388,27,Female,Postgraduate,100,59.9,62.1,54.4,75.2,2.33,23.1,14.4,40.4,High,1 Activity,51.5,Average,"(20, 25]",62.3,32.87,1.505,2,1.0,1,1
Mary Bello,STU/2021/0389,26,Female,Undergraduate,100,56.2,69.2,72.8,81.3,4.58,14.2,36.6,75.2,Medium,1 Activity,68.7,Good,,73.67,39.89,0.967,1,1.0,1,1
Blessing Okeke,STU/2023/0390,18,Female,Undergraduate,300,92.7,38.2,76.1,92.3,2.59,9.7,100.0,84.7,Medium,2+ Activities,63.0,Good,"(5, 10]",66.89,81.04,0.781,1,2.0,1,3
Chioma Danjuma,STU/2018/0391,21,Female,HND,400,49.4,61.2,62.4,83.6,3.59,20.2,79.2,59.4,Medium,1 Activity,60.4,Good,"(20, 25]",67.28,61.15,1.114,1,1.0,1,4
Oluwaseun Ibrahim,STU/2021/0392,22,Male,Undergraduate,300,72.4,44.8,50.3,68.3,2.83,16.2,90.6,91.6,Low,2+ Activities,55.2,Average,"(15, 20]",52.88,72.42,0.571,0,2.0,0,3
Sandra Nwosu,STU/2023/0393,21,Male,Undergraduate,100,67.2,67.2,63.4,62.7,2.78,24.9,61.4,49.1,Medium,1 Activity,66.0,Good,"(20, 25]",64.55,59.16,1.288,1,1.0,0,1
Ngozi Ofili,STU/2021/0394,29,Female,Undergraduate,400,90.7,44.9,71.2,66.9,2.31,19.9,46.2,32.1,Medium,1 Activity,59.6,Average,"(15, 20]",60.92,56.94,1.84,1,1.0,1,4
Joy Okafor,STU/2021/0395,29,Female,HND,300,61.9,51.8,57.3,60.3,2.13,18.4,77.6,76.1,Medium,2+ Activities,58.4,Average,"(15, 20]",56.12,63.5,0.728,1,2.0,1,3
Emeka Aliyu,STU/2022/0396,21,Female,Undergraduate,200,79.5,24.3,59.6,84.0,3.67,24.6,87.0,58.1,Medium,,53.0,Average,"(20, 25]",53.34,75.55,0.903,1,,1,2
Lanre Fashola,STU/2022/0397,21,Male,Undergraduate,300,50.9,36.9,50.0,74.7,2.11,14.1,43.0,48.4,Medium,,47.1,Pass,"(10, 15]",51.59,41.47,1.044,1,,0,3
Mary Okonkwo,STU/2021/0398,28,Male,Undergraduate,200,100.0,64.4,28.3,58.5,3.42,7.8,37.2,61.5,Medium,,52.5,Average,"(5, 10]",48.48,51.2,0.776,1,,0,2
Wale Aliyu,STU/2021/0399,18,Male,Undergraduate,200,67.7,42.4,51.5,87.5,3.08,15.6,17.0,28.3,Medium,1 Activity,55.2,Average,"(15, 20]",57.32,34.01,1.956,1,1.0,0,2
Halima Aliyu,STU/2020/0400,21,Female,Undergraduate,500,72.2,77.1,41.5,60.0,3.68,11.2,36.5,25.0,Low,,64.5,Good,"(10, 15]",58.58,43.64,2.253,0,,1,5
Chukwuemeka Okonkwo,STU/2018/0401,23,Male,Undergraduate,200,100.0,40.8,41.5,48.9,2.45,18.8,71.7,61.9,Low,2+ Activities,42.6,Pass,"(15, 20]",43.1,72.12,0.685,0,2.0,0,2
Patience Suleiman,STU/2018/0402,26,Male,HND,200,61.4,66.2,83.7,64.8,3.97,14.5,40.1,68.7,Low,1 Activity,66.0,Good,"(10, 15]",72.85,43.3,1.045,0,1.0,0,2
Lanre Onwudiwe,STU/2019/0403,26,Male,Undergraduate,400,100.0,44.3,74.0,51.0,2.87,17.2,78.3,87.9,Low,1 Activity,70.3,Good,"(15, 20]",57.86,74.88,0.651,0,1.0,0,4
Joy Bello,STU/2019/0404,17,Male,Undergraduate,400,64.6,64.9,21.1,80.9,5.0,4.4,100.0,77.7,Low,,57.5,Average,"(0, 5]",51.38,70.85,0.653,0,,0,4
Ruth Bakare,STU/2019/0405,20,Female,Undergraduate,100,84.1,30.4,33.3,50.6,1.55,14.2,55.6,72.7,Low,,43.4,Pass,,36.61,57.76,0.497,0,,1,1
Babatunde Okeke,STU/2022/0406,29,Male,Undergraduate,100,61.7,49.8,47.7,63.0,5.0,3.7,54.6,85.4,Low,,59.3,Average,"(0, 5]",52.26,47.04,0.605,0,,0,1
Femi Okonkwo,STU/2022/0407,16,Female,HND,100,47.6,42.8,42.2,81.0,2.89,21.7,68.7,69.8,Medium,1 Activity,44.4,Pass,"(20, 25]",52.11,55.86,0.736,1,1.0,1,1
Kayode Fashola,STU/2020/0408,27,Male,Undergraduate,300,79.5,73.9,61.3,52.9,3.2,21.7,40.6,53.1,Low,1 Activity,61.0,Good,"(20, 25]",63.61,51.38,1.176,0,1.0,0,3
Babatunde Bello,STU/2022/0409,16,Male,Undergraduate,200,83.5,66.3,30.1,72.0,2.46,16.8,56.5,78.2,Medium,1 Activity,51.4,Average,"(15, 20]",53.24,58.9,0.672,1,1.0,0,2
Precious Bakare,STU/2019/0410,20,Male,Undergraduate,100,48.3,35.8,74.2,48.5,1.59,16.5,39.6,77.5,High,1 Activity,56.5,Average,"(15, 20]",54.34,39.79,0.692,2,1.0,0,1
Ngozi Anikulapo,STU/2023/0411,27,Male,Undergraduate,500,71.4,54.3,54.1,69.2,2.52,12.2,26.4,59.8,High,2+ Activities,53.1,Average,"(10, 15]",57.94,38.69,0.953,2,2.0,0,5
Oluwaseun Anikulapo,STU/2021/0412,28,Male,Undergraduate,300,93.6,44.1,48.2,74.6,2.67,9.2,77.5,36.0,Medium,,52.6,Average,"(5, 10]",53.36,69.9,1.442,1,,0,3
Vivian Bello,STU/2019/0413,18,Male,Undergraduate,100,82.8,75.1,54.7,64.3,3.16,13.9,42.6,24.3,High,2+ Activities,64.0,Good,"(10, 15]",64.24,50.77,2.539,2,2.0,0,1
Femi Suleiman,STU/2020/0414,19,Female,Postgraduate,300,64.9,80.9,46.6,65.6,4.01,29.9,82.8,76.8,Medium,1 Activity,67.9,Good,"(25, 30]",63.36,70.84,0.814,1,1.0,1,3
Chioma Okafor,STU/2021/0415,18,Male,HND,300,61.2,32.1,14.4,72.5,3.17,15.8,68.2,69.6,Low,1 Activity,48.8,Pass,"(15, 20]",35.12,57.73,0.497,0,1.0,0,3
Musa Abubakar,STU/2022/0416,16,Female,Undergraduate,100,100.0,72.9,55.2,60.2,3.19,3.2,54.4,72.4,High,,69.7,Good,"(0, 5]",62.64,58.27,0.853,2,,1,1
Bello Ibrahim,STU/2021/0417,16,Female,HND,200,46.0,43.2,48.6,80.1,3.35,0.3,75.2,77.6,High,1 Activity,51.5,Average,"(0, 5]",54.58,51.5,0.694,2,1.0,1,2
Rasheed Onwudiwe,STU/2023/0418,27,Female,Undergraduate,400,70.9,53.4,35.9,88.3,1.42,2.5,31.4,42.0,Medium,,54.0,Average,"(0, 5]",55.12,37.8,1.282,1,,1,4
Biodun Nwachukwu,STU/2020/0419,27,Male,Undergraduate,200,45.6,58.6,76.9,49.3,1.5,11.0,35.5,22.5,Medium,2+ Activities,56.7,Average,"(10, 15]",63.6,35.1,2.706,1,2.0,0,2
